learning_rate,max_depth,n_estimators,subsample,mean_f1,std_f1
0.01,6,100,0.8,0.9778996803926046,0.0005453024325906587
0.01,6,100,1.0,0.9782524529744009,0.0004068442570272601
0.01,6,200,0.8,0.9794493477255418,4.8833096853978605e-05
0.01,6,200,1.0,0.9794076842625108,5.2981020737713426e-05
0.01,10,100,0.8,0.9833901417550248,0.00010338683067287649
0.01,10,100,1.0,0.9833610002520737,5.948084529283455e-05
0.01,10,200,0.8,0.9837281899511069,0.00011083802236156568
0.01,10,200,1.0,0.9837157457270322,0.00010000113666662243
0.1,6,100,0.8,0.9841518055639387,8.650826262951336e-05
0.1,6,100,1.0,0.9841421707784213,8.809208249400461e-05
0.1,6,200,0.8,0.9846014278723825,6.204725539929329e-05
0.1,6,200,1.0,0.9845298813864986,9.169643103250615e-05
0.1,10,100,0.8,0.9847590785986128,0.00010587226418897075
0.1,10,100,1.0,0.98473439962359,6.560615631913265e-05
0.1,10,200,0.8,0.9849214605401084,0.00011136334398170873
0.1,10,200,1.0,0.9848912225712543,9.51969929605854e-05
